Ward,Primary Type,Count
24,KIDNAPPING ,160
24,LIQUOR LAW VIOLATION       ,330
24,MOTOR VEHICLE THEFT        ,10399
24,NARCOTICS  ,62634
24,NON - CRIMINAL     ,4
24,NON-CRIMINAL       ,4
24,NON-CRIMINAL (SUBJECT SPECIFIED)   ,1
24,OBSCENITY  ,20
24,OFFENSE INVOLVING CHILDREN ,1650
24,OTHER NARCOTIC VIOLATION   ,1
24,OTHER OFFENSE      ,14275
24,PROSTITUTION       ,4876
24,PUBLIC INDECENCY   ,4
24,PUBLIC PEACE VIOLATION     ,1851
24,RITUALISM  ,1
24,ROBBERY    ,12045
24,SEX OFFENSE        ,761
24,STALKING   ,124
24,THEFT      ,31582
24,WEAPONS VIOLATION  ,5284
25,ARSON      ,187
25,ASSAULT    ,6516
25,BATTERY    ,15516
25,BURGLARY   ,4807
25,CONCEALED CARRY LICENSE VIOLATION  ,12
25,CRIM SEXUAL ASSAULT        ,320
25,CRIMINAL DAMAGE    ,12810
25,CRIMINAL SEXUAL ASSAULT    ,89
25,CRIMINAL TRESPASS  ,2326
25,DECEPTIVE PRACTICE ,4531
25,GAMBLING   ,97
25,HOMICIDE   ,174
25,HUMAN TRAFFICKING  ,1
25,INTERFERENCE WITH PUBLIC OFFICER   ,147
25,INTIMIDATION       ,80
25,KIDNAPPING ,50
25,LIQUOR LAW VIOLATION       ,443
25,MOTOR VEHICLE THEFT        ,5587
25,NARCOTICS  ,5146
25,NON - CRIMINAL     ,1
25,NON-CRIMINAL       ,4
25,OBSCENITY  ,12
25,OFFENSE INVOLVING CHILDREN ,653
25,OTHER NARCOTIC VIOLATION   ,3
25,OTHER OFFENSE      ,5286
25,PROSTITUTION       ,626
25,PUBLIC INDECENCY   ,3
25,PUBLIC PEACE VIOLATION     ,1179
25,ROBBERY    ,3454
25,SEX OFFENSE        ,471
25,STALKING   ,78
25,THEFT      ,24962
25,WEAPONS VIOLATION  ,1151
26,ARSON      ,327
26,ASSAULT    ,8144
26,BATTERY    ,22318
26,BURGLARY   ,7368
26,CONCEALED CARRY LICENSE VIOLATION  ,6
26,CRIM SEXUAL ASSAULT        ,440
26,CRIMINAL DAMAGE    ,13865
26,CRIMINAL SEXUAL ASSAULT    ,77
26,CRIMINAL TRESPASS  ,2753
26,DECEPTIVE PRACTICE ,3398
26,GAMBLING   ,97
26,HOMICIDE   ,161
26,HUMAN TRAFFICKING  ,1
26,INTERFERENCE WITH PUBLIC OFFICER   ,255
26,INTIMIDATION       ,73
26,KIDNAPPING ,93
26,LIQUOR LAW VIOLATION       ,395
26,MOTOR VEHICLE THEFT        ,6217
26,NARCOTICS  ,12053
26,NON-CRIMINAL       ,2
26,OBSCENITY  ,11
26,OFFENSE INVOLVING CHILDREN ,994
26,OTHER NARCOTIC VIOLATION   ,5
26,OTHER OFFENSE      ,7262
26,PROSTITUTION       ,1795
26,PUBLIC INDECENCY   ,2
26,PUBLIC PEACE VIOLATION     ,978
26,RITUALISM  ,1
26,ROBBERY    ,4066
26,SEX OFFENSE        ,532
26,STALKING   ,62
26,THEFT      ,20794
26,WEAPONS VIOLATION  ,1475
27,ARSON      ,346
27,ASSAULT    ,13516
27,BATTERY    ,43221
27,BURGLARY   ,8540
27,CONCEALED CARRY LICENSE VIOLATION  ,12
27,CRIM SEXUAL ASSAULT        ,696
27,CRIMINAL DAMAGE    ,24040
27,CRIMINAL SEXUAL ASSAULT    ,159
